,language,title,timestamp,user,action,comment,type,level,expiry,article
105,ru,"Бандера, Степан Андреевич",2011-03-04 14:44:35,Carn,protect,активная [[ВП:ВОЙ|война правок]],,,2011-03-07 14:44:00,Stepan_Bandera
106,ru,"Бандера, Степан Андреевич",2011-02-06 08:37:10,Vlsergey,protect,активная [[ВП:ВОЙ|война правок]],,,2011-02-07 08:37:00,Stepan_Bandera
107,ru,"Бандера, Степан Андреевич",2010-09-04 17:00:16,Altes,protect,активная [[ВП:ВОЙ|война правок]],,,2010-09-11 17:00:00,Stepan_Bandera
108,ru,"Бандера, Степан Андреевич",2010-06-19 08:18:24,Victoria,protect,активная [[ВП:ВОЙ|война правок]],,,2010-06-26 08:18:00,Stepan_Bandera
109,ru,"Бандера, Степан Андреевич",2010-06-02 09:23:14,Victoria,protect,активная [[ВП:ВОЙ|война правок]],,,2010-06-09 09:23:00,Stepan_Bandera
110,ru,"Бандера, Степан Андреевич",2010-04-29 02:28:53,EvgenyGenkin,protect,частый [[ВП:В|вандализм]],,,2010-05-13 02:28:00,Stepan_Bandera
111,ru,"Бандера, Степан Андреевич",2010-04-03 13:05:10,Victoria,modify,активная [[ВП:ВОЙ|война правок]],,,2010-04-10 13:05:00,Stepan_Bandera
112,ru,"Бандера, Степан Андреевич",2009-05-04 21:22:26,Victoria,protect,частый [[ВП:Вандализм|вандализм]],,,2029-12-31 23:59:59,Stepan_Bandera
113,ru,"Бандера, Степан Андреевич",2009-04-21 08:43:09,DR,protect,активная [[ВП:Война правок|война правок]],,,2009-04-28 08:43:00,Stepan_Bandera
114,ru,"Бандера, Степан Андреевич",2009-03-29 15:06:32,Obersachse,protect,частый [[ВП:Вандализм|вандализм]],,,2009-04-05 15:06:00,Stepan_Bandera
115,ru,"Бандера, Степан Андреевич",2009-03-10 21:07:39,Victoria,protect,частый [[ВП:Вандализм|вандализм]],,,2009-03-17 21:07:00,Stepan_Bandera
116,ru,"Бандера, Степан Андреевич",2008-12-31 11:07:44,Victoria,protect,частый [[ВП:Вандализм|вандализм]],,,2009-01-14 11:07:00,Stepan_Bandera
117,ru,"Бандера, Степан Андреевич",2008-10-01 21:26:33,Victoria,protect,многократный [[ВП:Вандализм|вандализм]],,,2008-10-08 21:26:00,Stepan_Bandera
118,ru,"Бандера, Степан Андреевич",2008-04-30 09:27:26,Wulfson,protect,"вандализм [edit=autoconfirmed:move=autoconfirmed] (истекает 00:00, 31 мая 2008 (UTC))",,,2008-05-31 00:00:00,Stepan_Bandera
119,en,Bohdan Khmelnytsky,2023-04-25 17:31:19,Yamla,protect,Persistent [[WP:Block#Evasion of blocks|block evasion]],"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2023-10-25 17:31:00,Bohdan_Khmelnytsky
